Domain,Web_Traffic,Have_At,SubDomain,Prefix/Suffix,Have_IP,URL_Depth,Redirection,TinyURL,Digit_count,Domain_Age,Label
digg.com,0,0,0,0,0,2,0,0,0,0,0
board.tommys-bookmarks.com,0,0,0,1,0,1,0,0,3,0,0
start.cortera.com,0,0,0,0,0,4,0,1,3,1,0
pipl.com,0,0,0,0,0,4,0,0,3,0,0
freepages.genealogy.rootsweb.ancestry.com,0,0,1,0,0,2,0,0,0,0,0
uimn.org,0,0,0,0,0,2,0,0,0,0,0
gmdu.net,0,0,0,0,0,1,0,0,6,0,0
montreal.ctv.ca,0,0,0,0,0,7,0,0,22,0,0
spokeo.com,0,0,0,0,0,1,0,0,0,1,0
christopher-meloni.com,0,0,0,1,0,0,0,0,0,0,0
radio3.cbc.ca,0,0,0,0,0,4,0,0,6,0,0
en.wikipedia.org,0,0,0,0,0,2,0,0,0,0,0
planetorganics.com,0,0,0,0,0,1,0,0,0,0,0
keyspeakers.com,0,0,0,0,0,1,0,0,4,0,0
archive.org,0,0,0,0,0,3,0,0,8,0,0
en.wikipedia.org,0,0,0,0,0,2,0,0,0,0,0
youtube.com,0,0,0,0,0,1,0,0,1,0,0
stmarysandalusia.org,1,0,0,0,0,1,0,0,3,0,0
reisler.ca,0,0,0,0,0,1,0,0,0,0,0
feedfliks.com,0,0,0,0,0,3,0,0,4,0,0
publicschoolreview.com,0,0,0,0,0,5,0,0,4,0,0
gardner-webb.edu,0,0,0,1,0,3,0,0,0,1,0
theoaklandpress.com,0,0,0,0,0,7,0,0,26,1,0
oaklandraiders.stores.yahoo.net,0,0,0,0,0,0,0,0,0,0,0
naturallygaymen.com,0,0,0,0,0,2,0,0,0,0,0
chacha.com,0,0,0,0,0,2,0,0,0,0,0
hotels.com,0,0,0,0,0,2,0,0,7,1,0
montreal.airporthotelguide.com,0,0,0,0,0,1,0,0,0,0,0
pipl.com,0,0,0,0,0,4,0,0,0,0,0
gloryofzion.org,0,0,0,0,0,0,0,0,0,0,0
extralive.tv,1,0,0,0,0,0,0,0,0,1,0
manta.com,0,0,0,0,0,3,0,0,2,0,0
articles.sfgate.com,0,0,0,0,0,3,0,0,17,1,0
faniq.com,0,0,0,0,0,2,0,0,7,0,0
archive.dyestat.com,0,0,0,0,0,0,0,1,4,0,0
graphicriver.net,0,0,0,0,0,3,0,0,11,0,0
sfexaminer.com,0,0,0,0,0,1,0,0,29,0,0
aljazeera.net,0,0,0,0,0,6,0,0,87,0,0
sports.espn.go.com,0,0,0,0,0,3,0,0,7,1,0
trueknowledge.com,0,0,0,0,0,2,0,0,0,0,0
unpo.org,0,0,0,0,0,2,0,0,5,0,0
stingraygreen.com,1,0,0,0,0,1,0,0,0,0,0
babynamespedia.com,0,0,0,0,0,2,0,0,0,0,0
scribd.com,0,0,0,0,0,3,0,0,8,1,0
amazon.com,0,0,0,0,0,3,0,0,5,0,0
unitvisions.com,1,0,0,0,0,3,0,0,0,0,0
polcan.wikia.com,0,0,0,0,0,2,0,0,0,0,0
liquida.com,0,0,0,0,0,1,0,0,0,0,0
library.usask.ca,0,0,0,0,0,2,0,0,0,0,0
meredith.edu,0,0,0,0,0,2,0,0,0,1,0
allaboutjazz.com,0,0,0,0,0,2,0,0,5,0,0
lalawag.com,0,0,0,0,0,4,0,0,8,0,0
onlineworldofwrestling.com,0,0,0,0,0,3,0,0,0,0,0
infosportinc.com,0,0,0,0,0,1,0,0,48,0,0
tripplanner.transit.511.org,0,0,0,0,0,2,0,0,4,0,0
123people.ca,0,0,0,0,0,2,0,0,3,1,0
fantasysp.com,0,0,0,0,0,2,0,0,0,0,0
vimeo.com,0,0,0,0,0,1,0,0,7,0,0
myspace.com,0,0,0,0,0,1,0,0,0,0,0
en.wikipedia.org,0,0,0,0,0,2,0,0,4,0,0
en.wikipedia.org,0,0,0,0,0,2,0,0,0,0,0
